grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;97670;88215;Mesochra sewelli;Lang, 1948;Species;sewelli;1;88215;1;353303;1;;88182;88182;Harpacticoida;Lang;1948;97036;0;1;;;;;Mesochra;Canthocamptidae;;353303;353303;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97675;88216;Mesochra stellfeldi;Jakobi, 1954;Species;stellfeldi;1;88216;1;359324;1;;88182;88182;Harpacticoida;Jakobi;1954;97037;0;1;;;;;Mesochra;Canthocamptidae;;359324;359324;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97685;88218;Mesochra timsae;Gurney, 1927;Species;timsae;1;88218;1;115710;1;;88182;88182;Harpacticoida;Gurney;1927;97039;0;1;;;;;Mesochra;Canthocamptidae;;115710;115710;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97690;88219;Mesochra wolskii;Jakubisiak, 1933;Species;wolskii;1;88219;1;353306;1;;88182;88182;Harpacticoida;Jakubisiak;1933;97040;0;1;;;;;Mesochra;Canthocamptidae;;353306;353306;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97695;88220;Mesochra xenopoda;Monard, 1935;Species;xenopoda;1;88220;1;115711;1;;88182;88182;Harpacticoida;Monard;1935;97041;0;1;;;;;Mesochra;Canthocamptidae;;115711;115711;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96880;88221;Attheyella;Brady, 1880;Genus;Attheyella;1;88221;1;346810;1;;88132;88132;Harpacticoida;Brady;1880;96334;0;1;;;;;Canthocamptidae;Harpacticoida;;346810;346810;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96935;88222;Attheyella crassa;(Sars G.O., 1863);Species;crassa;1;88222;0;;0;;88221;88221;Harpacticoida;Sars G.O.;1863;96902;0;1;;;;;Attheyella;Canthocamptidae;;357324;716316;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97155;88223;Attheyella wierzejskii;(Mrázek, 1893);Species;wierzejskii;1;88223;0;;0;;88221;88221;Harpacticoida;Mrázek;1893;96944;0;1;;;;;Attheyella;Canthocamptidae;;357369;716317;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97095;88224;Attheyella obatogamensis;(Willey, 1925);Species;obatogamensis;1;88224;0;;0;;88221;88221;Harpacticoida;Willey;1925;96932;0;1;;;;;Attheyella;Canthocamptidae;;357353;716717;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97105;88226;Attheyella orientalis;Chappuis, 1929;Species;orientalis;1;88226;1;349116;1;;88221;88221;Harpacticoida;Chappuis;1929;96934;0;1;;;;;Attheyella;Canthocamptidae;;349116;716718;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97025;88227;Attheyella idahoensis;(Marsh, 1903);Species;idahoensis;1;88227;0;;0;;88221;88221;Harpacticoida;Marsh;1903;96918;0;1;;;;;Attheyella;Canthocamptidae;;349094;716716;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97080;88228;Attheyella nakaii;(Brehm, 1927);Species;nakaii;1;88228;0;;0;;88221;88221;Harpacticoida;Brehm;1927;96929;0;1;;;;;Attheyella;Canthocamptidae;;349110;716727;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96950;88230;Attheyella dentata;(Poggenpol, 1874);Species;dentata;1;88230;0;;0;;88221;88221;Harpacticoida;Poggenpol;1874;96905;0;1;;;;;Attheyella;Canthocamptidae;;349083;716321;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97030;88234;Attheyella illinoisensis;(Forbes S.A., 1876);Species;illinoisensis;1;88234;0;;0;;88221;88221;Harpacticoida;Forbes S.A.;1876;96919;0;1;;;;;Attheyella;Canthocamptidae;;357342;851815;;NB;19/4/2016 00:00:00;;;;;;;0
