grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;97820;86140;Brianola;Monard, 1926;Genus;Brianola;1;86140;1;115248;1;;86130;86130;Harpacticoida;Monard;1926;96352;0;1;;;;;Canuellidae;Harpacticoida;;115248;115248;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97860;86148;Canuella;Scott T. & A., 1893;Genus;Canuella;1;86148;1;115249;1;;86130;86130;Harpacticoida;Scott T. & A.;1893;96353;0;1;;;;;Canuellidae;Harpacticoida;;115249;115249;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97890;86154;Canuellina;Gurney, 1927;Genus;Canuellina;1;86154;1;115250;1;;86130;86130;Harpacticoida;Gurney;1927;96354;0;1;;;;;Canuellidae;Harpacticoida;;115250;115250;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97915;86159;Canuellopsis;Lang, 1936;Genus;Canuellopsis;1;86159;1;115251;1;;86130;86130;Harpacticoida;Lang;1936;96355;0;1;;;;;Canuellidae;Harpacticoida;;115251;115251;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97935;86163;Ellucana;Sewell, 1940;Genus;Ellucana;1;86163;1;149957;1;;86130;86130;Harpacticoida;Sewell;1940;96356;0;1;;;;;Canuellidae;Harpacticoida;;149957;149957;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97960;86168;Ifanella;Vervoort, 1964;Genus;Ifanella;1;86168;1;149958;1;;86130;86130;Harpacticoida;Vervoort;1964;96357;0;1;;;;;Canuellidae;Harpacticoida;;149958;149958;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98005;86170;Sunaristes;Hesse, 1867;Genus;Sunaristes;1;86170;1;115254;1;;86130;86130;Harpacticoida;Hesse;1867;96359;0;1;;;;;Canuellidae;Harpacticoida;;115254;115254;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105145;86176;Phyllognathopus;Mrázek, 1893;Genus;Phyllognathopus;1;86176;1;115432;1;;86175;86175;Harpacticoida;Mrázek;1893;96537;0;1;;;;;Phyllognathopodidae;Harpacticoida;;115432;115432;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99410;86183;Darcythompsonia;Scott T., 1906;Genus;Darcythompsonia;1;86183;1;115299;1;;86182;86182;Harpacticoida;Scott T.;1906;96405;0;1;;;;;Darcythompsoniidae;Harpacticoida;;115299;115299;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99440;86189;Leptocaris;Scott T., 1899;Genus;Leptocaris;1;86189;1;115301;1;;86182;86182;Harpacticoida;Scott T.;1899;96406;0;1;;;;;Darcythompsoniidae;Harpacticoida;;115301;115301;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;101845;86208;Microsetella;Brady & Robertson D., 1873;Genus;Microsetella;1;86208;1;115341;1;;86207;86207;Harpacticoida;Brady & Robertson D.;1873;96451;0;1;;;;;Ectinosomatidae;Harpacticoida;;115341;115341;;NB;19/4/2016 00:00:00;;;;;;;0
